num_reads,num_runs,optimal_energy,mean_best_energy,std_best_energy,mean_energy,std_mean_energy,mean_optimal_rate,std_optimal_rate,mean_feasibility_rate,std_feasibility_rate,run_success_rate
10,20,16.0,16.0,0.0,16.425,0.197017231413103,0.6249999999999999,0.1332784974957958,1.0,0.0,1.0
50,20,16.0,16.0,0.0,16.404999999999998,0.08331929706351245,0.6139999999999999,0.05623259964787236,1.0,0.0,1.0
100,20,16.0,16.0,0.0,16.403,0.049957876993365305,0.6234999999999998,0.04738143096192853,0.999,0.0030779350562554647,1.0
500,20,16.0,16.0,0.0,16.4315,0.03323837351141272,0.6111,0.018393076500626406,0.9986,0.0013138933706635738,1.0
1000,20,16.0,16.0,0.0,16.421100000000003,0.021838883719303464,0.6157,0.01440796563308682,0.9987499999999999,0.0009104654680003269,1.0
